n,t,x=0.0,x=0.1,x=0.2,x=0.3,x=0.4,x=0.5,x=0.6,x=0.7,x=0.8,x=0.9,x=1.0
81,0.081,0.0,0.11376901928107667,0.2164551664845285,0.2980162235631611,0.3504258634439339,0.36849441139112415,0.3504258634439339,0.2980162235631611,0.2164551664845285,0.11376901928107667,0.0
82,0.082,0.0,0.11266073207331419,0.2143426574720466,0.29510108184337513,0.34699175425057566,0.3648807018016861,0.34699175425057566,0.29510108184337513,0.2143426574720466,0.11266073207331419,0.0
83,0.083,0.0,0.111562851405856,0.2122503073693062,0.29221430664696235,0.3435915817649666,0.361302912291464,0.3435915817649666,0.29221430664696235,0.2122503073693062,0.111562851405856,0.0
84,0.084,0.0,0.11047531186161542,0.2101779617007268,0.28935563423099714,0.34022498730581596,0.35776064618616454,0.34022498730581596,0.28935563423099714,0.2101779617007268,0.11047531186161542,0.0
85,0.085,0.0,0.10939804565936502,0.2081254639698427,0.28652480228545196,0.33689161788636895,0.35425351441009484,0.33689161788636895,0.28652480228545196,0.2081254639698427,0.10939804565936502,0.0
86,0.08600000000000001,0.0,0.10833098292447628,0.20609265597035584,0.28372155001398275,0.33359112597864987,0.35078113510534964,0.33359112597864987,0.28372155001398275,0.20609265597035584,0.10833098292447628,0.0
87,0.08700000000000001,0.0,0.10727405193661661,0.20407937807013057,0.28094561820608677,0.3303231692948531,0.3473431332800097,0.3303231692948531,0.28094561820608677,0.20407937807013057,0.10727405193661661,0.0
88,0.088,0.0,0.10622717935630635,0.20208546947037478,0.2781967493013678,0.32708741058449214,0.3439391404829784,0.32708741058449214,0.2781967493013678,0.20208546947037478,0.10622717935630635,0.0
89,0.089,0.0,0.10519029043208256,0.20011076844206724,0.27547468744658093,0.32388351744602834,0.34056879450328115,0.32388351744602834,0.27547468744658093,0.20011076844206724,0.10519029043208256,0.0
90,0.09,0.0,0.10416330918987277,0.19815511254152013,0.2727791785460743,0.3207111621518089,0.3372317390918306,0.3207111621518089,0.2727791785460743,0.19815511254152013,0.10416330918987277,0.0
91,0.091,0.0,0.10314615860605023,0.1962183388068108,0.2701099703061923,0.3175700214852376,0.3339276237038262,0.3175700214852376,0.2701099703061923,0.1962183388068108,0.10314615860605023,0.0
92,0.092,0.0,0.10213876076552127,0.1943002839366729,0.2674668122741587,0.31445977658919194,0.3306561032601085,0.31445977658919194,0.2674668122741587,0.1943002839366729,0.10213876076552127,0.0
93,0.093,0.0,0.1011410370060843,0.1924007844533063,0.26484945587191344,0.3113801128247803,0.3274168379259252,0.3113801128247803,0.26484945587191344,0.1924007844533063,0.1011410370060843,0.0
94,0.094,0.0,0.10015290805019807,0.19051967685044482,0.26225765442533944,0.3083307196396081,0.32420949290569623,0.3083307196396081,0.26225765442533944,0.19051967685044482,0.10015290805019807,0.0
95,0.095,0.0,0.09917429412520294,0.1886567977279096,0.2596911631892768,0.30531129044479005,0.3210337382524786,0.30531129044479005,0.2596911631892768,0.1886567977279096,0.09917429412520294,0.0
96,0.096,0.0,0.09820511507295332,0.18681198391377565,0.2571497393686914,0.3023215225000076,0.3178892486909409,0.3023215225000076,0.2571497393686914,0.18681198391377565,0.09820511507295332,0.0
97,0.097,0.0,0.09724529044974022,0.18498507257518498,0.2546331421363314,0.29936111680596933,0.31477570345275424,0.29936111680596933,0.2546331421363314,0.18498507257518498,0.09724529044974022,0.0
98,0.098,0.0,0.09629473961731067,0.18317590131875516,0.2521411326471806,0.29642977800368403,0.31169278612339724,0.29642977800368403,0.2521411326471806,0.18317590131875516,0.09629473961731067,0.0
99,0.099,0.0,0.09535338182572405,0.18138430828145324,0.24967347404998838,0.293527214280005,0.3086401844994546,0.293527214280005,0.24967347404998838,0.18138430828145324,0.09535338182572405,0.0
100,0.1,0.0,0.09442113628872456,0.17961013221273384,0.24722993149613653,0.2906531372789483,0.30561759045556464,0.2906531372789483,0.24722993149613653,0.17961013221273384,0.09442113628872456,0.0
